#truth_table, bitwiseExpression
[1 1 0 1 0 0 1 0],(z^~(x&~y))
[0 0 1 1 0 0 1 0],~(~x|(y&z))
[1 0 1 1 0 0 1 0],((y&z)^~(~x&(y^z)))
[0 1 1 1 0 0 1 0],((x&y)^~(x^(~y|z)))
[1 1 1 1 0 0 1 0],(z^~(x&(~y&z)))
[0 0 0 0 1 0 1 0],~(y|~z)
[1 0 0 0 1 0 1 0],(y^(~x|(y|z)))
[0 1 0 0 1 0 1 0],(~(x&y)&(y^z))
[1 1 0 0 1 0 1 0],((x&z)^~(x^(y&z)))
[0 0 1 0 1 0 1 0],(y^(x|(y|z)))
[1 0 1 0 1 0 1 0],~y
[0 1 1 0 1 0 1 0],(y^(x|z))
[1 1 1 0 1 0 1 0],(y^(x|(~y|z)))
[0 0 0 1 1 0 1 0],((x|~y)&(y^z))
[1 0 0 1 1 0 1 0],(y^~(x&~z))
[0 1 0 1 1 0 1 0],(y^z)
[1 1 0 1 1 0 1 0],(~(x|y)|(y^z))
[0 0 1 1 1 0 1 0],((x&z)^(x^(~y&z)))
[1 0 1 1 1 0 1 0],(y^(~x|(~y|z)))
[0 1 1 1 1 0 1 0],((x&~y)|(y^z))
[1 1 1 1 1 0 1 0],~(y&z)
[0 0 0 0 0 1 1 0],(z&(x^y))
[1 0 0 0 0 1 1 0],(~(x&y)&~(x^(y^z)))
[0 1 0 0 0 1 1 0],(y^(x&(y|z)))
[1 1 0 0 0 1 1 0],~(x^(~y&z))
[0 0 1 0 0 1 1 0],(y^~(~x&(~y|z)))
[1 0 1 0 0 1 1 0],(y^(x|~z))
[0 1 1 0 0 1 1 0],(x^y)
[1 1 1 0 0 1 1 0],(y^~(~x&(y|z)))
[0 0 0 1 0 1 1 0],((x|y)&~(x^(y^z)))
[1 0 0 1 0 1 1 0],~(x^(y^z))
[0 1 0 1 0 1 1 0],(y^(x&z))
[1 1 0 1 0 1 1 0],(~(x|~y)|~(x^(y^z)))
[0 0 1 1 0 1 1 0],(x^(y&z))
[1 0 1 1 0 1 1 0],((x&~y)|~(x^(y^z)))
[0 1 1 1 0 1 1 0],(y^(x&(~y|z)))
[1 1 1 1 0 1 1 0],(~z|(x^y))
[0 0 0 0 1 1 1 0],(z&~(x&y))
[1 0 0 0 1 1 1 0],((y&~z)^(~x|(y^z)))
[0 1 0 0 1 1 1 0],((x&y)^(y|z))
[1 1 0 0 1 1 1 0],(~x|(~y&z))
[0 0 1 0 1 1 1 0],(y^(x|(y^z)))
[1 0 1 0 1 1 1 0],(y^~(~x&(y&z)))
[0 1 1 0 1 1 1 0],(y^(x|(~y&z)))
[1 1 1 0 1 1 1 0],~(x&y)
[0 0 0 1 1 1 1 0],(z^(x&y))
[1 0 0 1 1 1 1 0],(~(x|y)|~(x^(y^z)))
[0 1 0 1 1 1 1 0],(~(x|~y)|(y^z))
[1 1 0 1 1 1 1 0],(~x|(y^z))
[0 0 1 1 1 1 1 0],(z^~(~x|(~y&z)))
[1 0 1 1 1 1 1 0],(~y|(x^z))
[0 1 1 1 1 1 1 0],((x^y)|(x^z))
[1 1 1 1 1 1 1 0],~(x&(y&z))
[0 0 0 0 0 0 0 1],(x&(y&z))
[1 0 0 0 0 0 0 1],(~(x^y)&~(x^z))
[0 1 0 0 0 0 0 1],(y&~(x^z))
[1 1 0 0 0 0 0 1],(z^(~x|(~y&z)))
[0 0 1 0 0 0 0 1],~(~x|(y^z))
[1 0 1 0 0 0 0 1],((x|~y)&~(y^z))
[0 1 1 0 0 0 0 1],((x|y)&(x^(y^z)))
[1 1 1 0 0 0 0 1],(z^~(x&y))
[0 0 0 1 0 0 0 1],(x&y)
[1 0 0 1 0 0 0 1],(y^~(x|(~y&z)))
[0 1 0 1 0 0 0 1],(y&(x|~z))
[1 1 0 1 0 0 0 1],(y^~(x|(y^z)))
[0 0 1 1 0 0 0 1],~(~x|(~y&z))
[1 0 1 1 0 0 0 1],((x&y)|~(y|z))
[0 1 1 1 0 0 0 1],((y&~z)|~(~x|(~y&z)))
[1 1 1 1 0 0 0 1],(z^~(x&(y&z)))
[0 0 0 0 1 0 0 1],(z&~(x^y))
[1 0 0 0 1 0 0 1],(y^~(x&(~y|z)))
[0 1 0 0 1 0 0 1],(~(x&~y)&(x^(y^z)))
[1 1 0 0 1 0 0 1],~(x^(y&z))
[0 0 1 0 1 0 0 1],((x|~y)&(x^(y^z)))
[1 0 1 0 1 0 0 1],(y^~(x&z))
[0 1 1 0 1 0 0 1],(x^(y^z))
[1 1 1 0 1 0 0 1],(~(x|y)|(x^(y^z)))
[0 0 0 1 1 0 0 1],(y^(~x&(y|z)))
[1 0 0 1 1 0 0 1],~(x^y)
[0 1 0 1 1 0 0 1],(y^~(x|~z))
[1 1 0 1 1 0 0 1],(y^(~x&(~y|z)))
[0 0 1 1 1 0 0 1],(x^(~y&z))
[1 0 1 1 1 0 0 1],(y^~(x&(y|z)))
[0 1 1 1 1 0 0 1],((x&y)|(x^(y^z)))
[1 1 1 1 1 0 0 1],(~z|~(x^y))
[0 0 0 0 0 1 0 1],(y&z)
[1 0 0 0 0 1 0 1],(~(x&~y)&~(y^z))
[0 1 0 0 0 1 0 1],(y&~(x&~z))
[1 1 0 0 0 1 0 1],((x&z)^~(x^(~y&z)))
[0 0 1 0 0 1 0 1],((x|y)&~(y^z))
[1 0 1 0 0 1 0 1],~(y^z)
[0 1 1 0 0 1 0 1],(y^(x&~z))
[1 1 1 0 0 1 0 1],(~(x|~y)|~(y^z))
[0 0 0 1 0 1 0 1],(y&(x|z))
[1 0 0 1 0 1 0 1],(y^~(x|z))
[0 1 0 1 0 1 0 1],y
[1 1 0 1 0 1 0 1],(y|~(x|z))
[0 0 1 1 0 1 0 1],((x&z)^(x^(y&z)))
[1 0 1 1 0 1 0 1],((x&y)|~(y^z))
[0 1 1 1 0 1 0 1],(y|(x&~z))
[1 1 1 1 0 1 0 1],(y|~z)
[0 0 0 0 1 1 0 1],(z&~(x&~y))
[1 0 0 0 1 1 0 1],((x&y)^(x^(~y|z)))
[0 1 0 0 1 1 0 1],((y&z)|(~x&(y|z)))
[1 1 0 0 1 1 0 1],(~x|(y&z))
[0 0 1 0 1 1 0 1],(z^(x&~y))
[1 0 1 0 1 1 0 1],(~(x|y)|~(y^z))
[0 1 1 0 1 1 0 1],(~(x|~y)|(x^(y^z)))
[1 1 1 0 1 1 0 1],~(x&(y^z))
[0 0 0 1 1 1 0 1],(y^(~x&(y^z)))
[1 0 0 1 1 1 0 1],(y^~(x|(y&z)))
[0 1 0 1 1 1 0 1],(y|~(x|~z))
[1 1 0 1 1 1 0 1],~(x&~y)
[0 0 1 1 1 1 0 1],(z^~(~x|(y&z)))
[1 0 1 1 1 1 0 1],(~(x^y)|(x^z))
[0 1 1 1 1 1 0 1],(y|(x^z))
[1 1 1 1 1 1 0 1],~(x&(~y&z))
[0 0 0 0 0 0 1 1],(x&z)
[1 0 0 0 0 0 1 1],(z^(~x&(~y|z)))
[0 1 0 0 0 0 1 1],(z^(~x&(y|z)))
[1 1 0 0 0 0 1 1],~(x^z)
[0 0 1 0 0 0 1 1],(x&(~y|z))
[1 0 1 0 0 0 1 1],((x&z)|~(y|z))
[0 1 1 0 0 0 1 1],~(x^(~y|z))
[1 1 1 0 0 0 1 1],(z^~(x&(y|z)))
[0 0 0 1 0 0 1 1],(x&(y|z))
[1 0 0 1 0 0 1 1],~(x^(y|z))
[0 1 0 1 0 0 1 1],((x&z)|(y&~z))
[1 1 0 1 0 0 1 1],(z^~(x&(~y|z)))
[0 0 1 1 0 0 1 1],x
[1 0 1 1 0 0 1 1],~(~x&(y|z))
[0 1 1 1 0 0 1 1],~(~x&(~y|z))
[1 1 1 1 0 0 1 1],(x|~z)
[0 0 0 0 1 0 1 1],(z&(x|~y))
[1 0 0 0 1 0 1 1],(y^(~x|(y^z)))
[0 1 0 0 1 0 1 1],(z^~(x|~y))
[1 1 0 0 1 0 1 1],(z^~(x|(~y&z)))
[0 0 1 0 1 0 1 1],((y&~z)^(x|(y^z)))
[1 0 1 0 1 0 1 1],(y^~(x&(y&z)))
[0 1 1 0 1 0 1 1],((x&~y)|(x^(y^z)))
[1 1 1 0 1 0 1 1],(~y|~(x^z))
[0 0 0 1 1 0 1 1],((x&y)|~(y|~z))
[1 0 0 1 1 0 1 1],(y^(~x|(~y&z)))
[0 1 0 1 1 0 1 1],((x&y)|(y^z))
[1 1 0 1 1 0 1 1],(~(x^y)|~(x^z))
[0 0 1 1 1 0 1 1],(x|(~y&z))
[1 0 1 1 1 0 1 1],(x|~y)
[0 1 1 1 1 0 1 1],(x|(y^z))
[1 1 1 1 1 0 1 1],~(~x&(y&z))
[0 0 0 0 0 1 1 1],(z&(x|y))
[1 0 0 0 0 1 1 1],(z^~(x|y))
[0 1 0 0 0 1 1 1],(y^(x&(y^z)))
[1 1 0 0 0 1 1 1],(z^~(x|(y&z)))
[0 0 1 0 0 1 1 1],((x&y)^(x^(y&z)))
[1 0 1 0 0 1 1 1],((x&~y)|~(y^z))
[0 1 1 0 0 1 1 1],(y^~(~x|(y&z)))
[1 1 1 0 0 1 1 1],((x^y)|~(x^z))
[0 0 0 1 0 1 1 1],((y&z)|(x&(y|z)))
[1 0 0 1 0 1 1 1],((x&y)|~(x^(y^z)))
[0 1 0 1 0 1 1 1],(y|(x&z))
[1 1 0 1 0 1 1 1],(y|~(x^z))
[0 0 1 1 0 1 1 1],(x|(y&z))
[1 0 1 1 0 1 1 1],~(~x&(y^z))
[0 1 1 1 0 1 1 1],(x|y)
[1 1 1 1 0 1 1 1],~(~x&(~y&z))
[0 0 0 0 1 1 1 1],z
[1 0 0 0 1 1 1 1],(z|~(x|y))
[0 1 0 0 1 1 1 1],(z|~(x|~y))
[1 1 0 0 1 1 1 1],~(x&~z)
[0 0 1 0 1 1 1 1],(z|(x&~y))
[1 0 1 0 1 1 1 1],~(y&~z)
[0 1 1 0 1 1 1 1],(z|(x^y))
[1 1 1 0 1 1 1 1],(~x|(~y|z))
[0 0 0 1 1 1 1 1],(z|(x&y))
[1 0 0 1 1 1 1 1],(z|~(x^y))
[0 1 0 1 1 1 1 1],(y|z)
[1 1 0 1 1 1 1 1],(~x|(y|z))
[0 0 1 1 1 1 1 1],(x|z)
[1 0 1 1 1 1 1 1],(x|(~y|z))
[0 1 1 1 1 1 1 1],(x|(y|z))
[1 1 1 1 1 1 1 1],~(x&~x)
